"id","acronym","graph_order","red","green","blue","graph_order","parent_id","parent_acronym"
68,"FRP1",7,38,143,69,7,184,"FRP"
667,"FRP2/3",8,38,143,69,8,184,"FRP"
320,"MOp1",16,31,157,90,16,985,"MOp"
943,"MOp2/3",17,31,157,90,17,985,"MOp"
648,"MOp5",18,31,157,90,18,985,"MOp"
844,"MOp6a",19,31,157,90,19,985,"MOp"
882,"MOp6b",20,31,157,90,20,985,"MOp"
656,"MOs1",22,31,157,90,22,993,"MOs"
962,"MOs2/3",23,31,157,90,23,993,"MOs"
767,"MOs5",24,31,157,90,24,993,"MOs"
1021,"MOs6a",25,31,157,90,25,993,"MOs"
1085,"MOs6b",26,31,157,90,26,993,"MOs"
558,"SSp-n1",42,24,128,100,42,353,"SSp-n"
838,"SSp-n2/3",43,24,128,100,43,353,"SSp-n"
654,"SSp-n4",44,24,128,100,44,353,"SSp-n"
702,"SSp-n5",45,24,128,100,45,353,"SSp-n"
889,"SSp-n6a",46,24,128,100,46,353,"SSp-n"
929,"SSp-n6b",47,24,128,100,47,353,"SSp-n"
981,"SSp-bfd1",49,24,128,100,49,329,"SSp-bfd"
201,"SSp-bfd2/3",50,24,128,100,50,329,"SSp-bfd"
1047,"SSp-bfd4",51,24,128,100,51,329,"SSp-bfd"
1070,"SSp-bfd5",52,24,128,100,52,329,"SSp-bfd"
1038,"SSp-bfd6a",53,24,128,100,53,329,"SSp-bfd"
1062,"SSp-bfd6b",54,24,128,100,54,329,"SSp-bfd"
1030,"SSp-ll1",56,24,128,100,56,337,"SSp-ll"
113,"SSp-ll2/3",57,24,128,100,57,337,"SSp-ll"
1094,"SSp-ll4",58,24,128,100,58,337,"SSp-ll"
1128,"SSp-ll5",59,24,128,100,59,337,"SSp-ll"
478,"SSp-ll6a",60,24,128,100,60,337,"SSp-ll"
510,"SSp-ll6b",61,24,128,100,61,337,"SSp-ll"
878,"SSp-m1",63,24,128,100,63,345,"SSp-m"
657,"SSp-m2/3",64,24,128,100,64,345,"SSp-m"
950,"SSp-m4",65,24,128,100,65,345,"SSp-m"
974,"SSp-m5",66,24,128,100,66,345,"SSp-m"
1102,"SSp-m6a",67,24,128,100,67,345,"SSp-m"
2,"SSp-m6b",68,24,128,100,68,345,"SSp-m"
450,"SSp-ul1",70,24,128,100,70,369,"SSp-ul"
854,"SSp-ul2/3",71,24,128,100,71,369,"SSp-ul"
577,"SSp-ul4",72,24,128,100,72,369,"SSp-ul"
625,"SSp-ul5",73,24,128,100,73,369,"SSp-ul"
945,"SSp-ul6a",74,24,128,100,74,369,"SSp-ul"
1026,"SSp-ul6b",75,24,128,100,75,369,"SSp-ul"
1006,"SSp-tr1",77,24,128,100,77,361,"SSp-tr"
670,"SSp-tr2/3",78,24,128,100,78,361,"SSp-tr"
1086,"SSp-tr4",79,24,128,100,79,361,"SSp-tr"
1111,"SSp-tr5",80,24,128,100,80,361,"SSp-tr"
9,"SSp-tr6a",81,24,128,100,81,361,"SSp-tr"
461,"SSp-tr6b",82,24,128,100,82,361,"SSp-tr"
182305693,"SSp-un1",84,24,128,100,84,182305689,"SSp-un"
182305697,"SSp-un2/3",85,24,128,100,85,182305689,"SSp-un"
182305701,"SSp-un4",86,24,128,100,86,182305689,"SSp-un"
182305705,"SSp-un5",87,24,128,100,87,182305689,"SSp-un"
182305709,"SSp-un6a",88,24,128,100,88,182305689,"SSp-un"
182305713,"SSp-un6b",89,24,128,100,89,182305689,"SSp-un"
873,"SSs1",91,24,128,100,91,378,"SSs"
806,"SSs2/3",92,24,128,100,92,378,"SSs"
1035,"SSs4",93,24,128,100,93,378,"SSs"
1090,"SSs5",94,24,128,100,94,378,"SSs"
862,"SSs6a",95,24,128,100,95,378,"SSs"
893,"SSs6b",96,24,128,100,96,378,"SSs"
36,"GU1",98,0,156,117,98,1057,"GU"
180,"GU2/3",99,0,156,117,99,1057,"GU"
148,"GU4",100,0,156,117,100,1057,"GU"
187,"GU5",101,0,156,117,101,1057,"GU"
638,"GU6a",102,0,156,117,102,1057,"GU"
662,"GU6b",103,0,156,117,103,1057,"GU"
897,"VISC1",105,17,173,131,105,677,"VISC"
1106,"VISC2/3",106,17,173,131,106,677,"VISC"
1010,"VISC4",107,17,173,131,107,677,"VISC"
1058,"VISC5",108,17,173,131,108,677,"VISC"
857,"VISC6a",109,17,173,131,109,677,"VISC"
849,"VISC6b",110,17,173,131,110,677,"VISC"
527,"AUDd1",113,1,147,153,113,1011,"AUDd"
600,"AUDd2/3",114,1,147,153,114,1011,"AUDd"
678,"AUDd4",115,1,147,153,115,1011,"AUDd"
252,"AUDd5",116,1,147,153,116,1011,"AUDd"
156,"AUDd6a",117,1,147,153,117,1011,"AUDd"
243,"AUDd6b",118,1,147,153,118,1011,"AUDd"
735,"AUDp1",120,1,147,153,120,1002,"AUDp"
251,"AUDp2/3",121,1,147,153,121,1002,"AUDp"
816,"AUDp4",122,1,147,153,122,1002,"AUDp"
847,"AUDp5",123,1,147,153,123,1002,"AUDp"
954,"AUDp6a",124,1,147,153,124,1002,"AUDp"
1005,"AUDp6b",125,1,147,153,125,1002,"AUDp"
696,"AUDpo1",127,1,147,153,127,1027,"AUDpo"
643,"AUDpo2/3",128,1,147,153,128,1027,"AUDpo"
759,"AUDpo4",129,1,147,153,129,1027,"AUDpo"
791,"AUDpo5",130,1,147,153,130,1027,"AUDpo"
249,"AUDpo6a",131,1,147,153,131,1027,"AUDpo"
456,"AUDpo6b",132,1,147,153,132,1027,"AUDpo"
959,"AUDv1",134,1,147,153,134,1018,"AUDv"
755,"AUDv2/3",135,1,147,153,135,1018,"AUDv"
990,"AUDv4",136,1,147,153,136,1018,"AUDv"
1023,"AUDv5",137,1,147,153,137,1018,"AUDv"
520,"AUDv6a",138,1,147,153,138,1018,"AUDv"
598,"AUDv6b",139,1,147,153,139,1018,"AUDv"
1074,"VISal1",148,8,133,140,148,402,"VISal"
905,"VISal2/3",149,8,133,140,149,402,"VISal"
1114,"VISal4",150,8,133,140,150,402,"VISal"
233,"VISal5",151,8,133,140,151,402,"VISal"
601,"VISal6a",152,8,133,140,152,402,"VISal"
649,"VISal6b",153,8,133,140,153,402,"VISal"
281,"VISam1",155,8,133,140,155,394,"VISam"
1066,"VISam2/3",156,8,133,140,156,394,"VISam"
401,"VISam4",157,8,133,140,157,394,"VISam"
433,"VISam5",158,8,133,140,158,394,"VISam"
1046,"VISam6a",159,8,133,140,159,394,"VISam"
441,"VISam6b",160,8,133,140,160,394,"VISam"
421,"VISl1",162,8,133,140,162,409,"VISl"
973,"VISl23",163,8,133,140,163,409,"VISl"
573,"VISl4",164,8,133,140,164,409,"VISl"
613,"VISl5",165,8,133,140,165,409,"VISl"
74,"VISl6a",166,8,133,140,166,409,"VISl"
121,"VISl6b",167,8,133,140,167,409,"VISl"
593,"VISp1",169,8,133,140,169,385,"VISp"
821,"VISp2/3",170,8,133,140,170,385,"VISp"
721,"VISp4",171,8,133,140,171,385,"VISp"
778,"VISp5",172,8,133,140,172,385,"VISp"
33,"VISp6a",173,8,133,140,173,385,"VISp"
305,"VISp6b",174,8,133,140,174,385,"VISp"
750,"VISpl1",176,8,133,140,176,425,"VISpl"
269,"VISpl2/3",177,8,133,140,177,425,"VISpl"
869,"VISpl4",178,8,133,140,178,425,"VISpl"
902,"VISpl5",179,8,133,140,179,425,"VISpl"
377,"VISpl6a",180,8,133,140,180,425,"VISpl"
393,"VISpl6b",181,8,133,140,181,425,"VISpl"
805,"VISpm1",183,8,133,140,183,533,"VISpm"
41,"VISpm2/3",184,8,133,140,184,533,"VISpm"
501,"VISpm4",185,8,133,140,185,533,"VISpm"
565,"VISpm5",186,8,133,140,186,533,"VISpm"
257,"VISpm6a",187,8,133,140,187,533,"VISpm"
469,"VISpm6b",188,8,133,140,188,533,"VISpm"
935,"ACAd1",196,64,166,102,196,39,"ACAd"
211,"ACAd2/3",197,64,166,102,197,39,"ACAd"
1015,"ACAd5",198,64,166,102,198,39,"ACAd"
919,"ACAd6a",199,64,166,102,199,39,"ACAd"
927,"ACAd6b",200,64,166,102,200,39,"ACAd"
588,"ACAv1",202,64,166,102,202,48,"ACAv"
296,"ACAv2/3",203,64,166,102,203,48,"ACAv"
772,"ACAv5",204,64,166,102,204,48,"ACAv"
171,"PL1",208,47,168,80,208,972,"PL"
195,"PL2",209,47,168,80,209,972,"PL"
304,"PL2/3",210,47,168,80,210,972,"PL"
363,"PL5",211,47,168,80,211,972,"PL"
84,"PL6a",212,47,168,80,212,972,"PL"
132,"PL6b",213,47,168,80,213,972,"PL"
707,"ILA1",215,89,179,99,215,44,"ILA"
747,"ILA2",216,89,179,99,216,44,"ILA"
556,"ILA2/3",217,89,179,99,217,44,"ILA"
827,"ILA5",218,89,179,99,218,44,"ILA"
1054,"ILA6a",219,89,179,99,219,44,"ILA"
1081,"ILA6b",220,89,179,99,220,44,"ILA"
448,"ORBl1",228,36,138,94,228,723,"ORBl"
412,"ORBl2/3",229,36,138,94,229,723,"ORBl"
630,"ORBl5",230,36,138,94,230,723,"ORBl"
440,"ORBl6a",231,36,138,94,231,723,"ORBl"
488,"ORBl6b",232,36,138,94,232,723,"ORBl"
484,"ORBm1",234,36,138,94,234,731,"ORBm"
524,"ORBm2",235,36,138,94,235,731,"ORBm"
582,"ORBm2/3",236,36,138,94,236,731,"ORBm"
