"id","acronym","red","green","blue","graph_order"
184,"FRP",38,143,69,6
985,"MOp",31,157,90,15
993,"MOs",31,157,90,21
353,"SSp-n",24,128,100,41
329,"SSp-bfd",24,128,100,48
337,"SSp-ll",24,128,100,55
345,"SSp-m",24,128,100,62
369,"SSp-ul",24,128,100,69
361,"SSp-tr",24,128,100,76
182305689,"SSp-un",24,128,100,83
378,"SSs",24,128,100,90
1057,"GU",0,156,117,97
677,"VISC",17,173,131,104
1011,"AUDd",1,147,153,112
1002,"AUDp",1,147,153,119
1027,"AUDpo",1,147,153,126
1018,"AUDv",1,147,153,133
402,"VISal",8,133,140,147
394,"VISam",8,133,140,154
409,"VISl",8,133,140,161
385,"VISp",8,133,140,168
425,"VISpl",8,133,140,175
533,"VISpm",8,133,140,182
39,"ACAd",64,166,102,195
48,"ACAv",64,166,102,201
972,"PL",47,168,80,207
44,"ILA",89,179,99,214
723,"ORBl",36,138,94,227
731,"ORBm",36,138,94,233
746,"ORBvl",36,138,94,240
104,"AId",33,152,102,247
111,"AIp",33,152,102,253
119,"AIv",33,152,102,259
894,"RSPagl",26,166,152,266
879,"RSPd",26,166,152,272
886,"RSPv",26,166,152,279
22,"PTLp",0,159,172,286
541,"TEa",21,176,179,293
922,"PERI",14,150,132,300
895,"ECT",13,159,145,306
507,"MOB",154,210,189,313
151,"AOB",157,240,210,319
159,"AON",84,191,148,323
589,"TT",98,208,159,331
814,"DP",164,218,164,343
961,"PIR",106,203,186,349
619,"NLOT",149,228,200,354
639,"COAa",97,231,183,360
647,"COAp",97,231,183,364
788,"PAA",89,218,171,377
566,"TR",168,236,211,382
382,"CA1",126,208,75,390
423,"CA2",126,208,75,395
463,"CA3",126,208,75,400
726,"DG",126,208,75,406
982,"FC",126,208,75,423
19,"IG",126,208,75,424
918,"ENTl",50,184,37,427
926,"ENTm",50,184,37,440
934,"ENTmv",50,184,37,450
843,"PAR",114,213,105,456
1037,"POST",72,200,60,460
1084,"PRE",89,185,71,464
509,"SUBd",79,194,68,469
518,"SUBv",79,194,68,473
583,"CLA",138,218,135,479
952,"EPd",160,238,157,481
966,"EPv",160,238,157,482
131,"LA",144,235,141,483
295,"BLA",157,231,156,484
319,"BMA",132,234,129,488
780,"PA",151,236,147,491
672,"CP",152,214,249,495
56,"ACB",128,205,248,497
998,"FS",128,205,248,498
754,"OT",128,205,248,499
250,"LSc",144,203,237,508
258,"LSr",144,203,237,509
266,"LSv",144,203,237,510
310,"SF",144,203,237,511
333,"SH",144,203,237,512
23,"AAA",128,192,226,514
292,"BA",128,192,226,515
536,"CEA",128,192,226,516
1105,"IA",128,192,226,520
403,"MEA",128,192,226,521
1022,"GPe",133,153,204,531
1031,"GPi",133,153,204,532
342,"SI",162,177,216,534
298,"MA",162,177,216,535
564,"MS",150,167,211,538
596,"NDB",150,167,211,539
581,"TRS",150,167,211,540
351,"BST",179,192,223,542
287,"BAC",179,192,223,559
629,"VAL",255,128,132,565
685,"VM",255,128,132,566
718,"VPL",255,128,132,568
725,"VPLpc",255,128,132,569
733,"VPM",255,128,132,570
741,"VPMpc",255,128,132,571
414,"SPFm",255,128,132,573
422,"SPFp",255,128,132,574
609,"SPA",255,128,132,575
1044,"PP",255,128,132,576
1072,"MGd",255,128,132,579
1079,"MGv",255,128,132,580
1088,"MGm",255,128,132,581
170,"LGd",255,128,132,582
218,"LP",255,144,159,585
1020,"PO",255,144,159,586
1029,"POL",255,144,159,587
325,"SGN",255,144,159,588
255,"AV",255,144,159,590
1096,"AMd",255,144,159,592
1104,"AMv",255,144,159,593
64,"AD",255,144,159,594
1120,"IAM",255,144,159,595
1113,"IAD",255,144,159,596
155,"LD",255,144,159,597
59,"IMD",255,144,159,599
362,"MD",255,144,159,600
366,"SMT",255,144,159,604
1077,"PR",255,144,159,605
149,"PVT",255,144,159,607
15,"PT",255,144,159,608
181,"RE",255,144,159,609
189,"RH",255,144,159,611
599,"CM",255,144,159,612
907,"PCN",255,144,159,613
575,"CL",255,144,159,614
930,"PF",255,144,159,615
262,"RT",255,144,159,616
27,"IGL",255,144,159,618
178,"LGv",255,144,159,619
321,"SubG",255,144,159,622
483,"MH",255,144,159,624
186,"LH",255,144,159,625
390,"SO",255,93,80,629
332,"ASO",255,93,80,630
38,"PVH",255,93,80,632
30,"PVa",255,93,80,643
118,"PVi",255,93,80,644
223,"ARH",255,93,80,645
72,"ADP",255,85,71,647
263,"AVP",255,85,71,649
272,"AVPV",255,85,71,650
830,"DMH",255,85,71,651
452,"MEPO",255,85,71,655
523,"MPO",255,85,71,656
763,"OV",255,85,71,657
914,"PD",255,85,71,658
1109,"PS",255,85,71,659
126,"PVp",255,85,71,661
133,"PVpo",255,85,71,662
347,"SBPV",255,85,71,663
286,"SCH",255,85,71,664
338,"SFO",255,85,71,665
689,"VLPO",255,85,71,666
88,"AHN",255,76,62,668
210,"LM",255,76,62,674
491,"MM",255,76,62,675
525,"SUM",255,76,62,677
1126,"TMd",255,76,62,681
1,"TMv",255,76,62,682
515,"MPN",255,76,62,683
980,"PMd",255,76,62,687
1004,"PMv",255,76,62,688
63,"PVHd",255,76,62,689
693,"VMH",255,76,62,694
946,"PH",255,76,62,699
194,"LHA",242,72,59,701
226,"LPO",242,72,59,702
356,"PST",242,72,59,703
364,"PSTN",242,72,59,704
173,"RCH",242,72,59,705
470,"STN",242,72,59,706
614,"TU",242,72,59,707
797,"ZI",242,72,59,708
302,"SCs",255,122,255,714
811,"ICc",255,122,255,719
820,"ICd",255,122,255,720
828,"ICe",255,122,255,721
580,"NB",255,122,255,722
271,"SAG",255,122,255,723
874,"PBG",255,122,255,724
460,"MEV",255,122,255,725
381,"SNr",255,144,255,727
749,"VTA",255,144,255,728
246,"RR",255,144,255,729
128,"MRN",255,144,255,730
294,"SCm",255,144,255,734
795,"PAG",255,144,255,742
215,"APN",255,144,255,747
531,"MPT",255,144,255,748
628,"NOT",255,144,255,749
634,"NPC",255,144,255,750
706,"OP",255,144,255,751
1061,"PPT",255,144,255,752
616,"CUN",255,144,255,753
214,"RN",255,144,255,754
35,"III",255,144,255,755
975,"EW",255,144,255,756
115,"IV",255,144,255,757
757,"VTN",255,144,255,758
