"id","acronym","red","green","blue","graph_order","id","acronym"
184,"FRP",38,143,69,6,315,"Isocortex"
985,"MOp",31,157,90,15,315,"Isocortex"
993,"MOs",31,157,90,21,315,"Isocortex"
353,"SSp-n",24,128,100,41,315,"Isocortex"
329,"SSp-bfd",24,128,100,48,315,"Isocortex"
337,"SSp-ll",24,128,100,55,315,"Isocortex"
345,"SSp-m",24,128,100,62,315,"Isocortex"
369,"SSp-ul",24,128,100,69,315,"Isocortex"
361,"SSp-tr",24,128,100,76,315,"Isocortex"
182305689,"SSp-un",24,128,100,83,315,"Isocortex"
378,"SSs",24,128,100,90,315,"Isocortex"
1057,"GU",0,156,117,97,315,"Isocortex"
677,"VISC",17,173,131,104,315,"Isocortex"
1011,"AUDd",1,147,153,112,315,"Isocortex"
1002,"AUDp",1,147,153,119,315,"Isocortex"
1027,"AUDpo",1,147,153,126,315,"Isocortex"
1018,"AUDv",1,147,153,133,315,"Isocortex"
402,"VISal",8,133,140,147,315,"Isocortex"
394,"VISam",8,133,140,154,315,"Isocortex"
409,"VISl",8,133,140,161,315,"Isocortex"
385,"VISp",8,133,140,168,315,"Isocortex"
425,"VISpl",8,133,140,175,315,"Isocortex"
533,"VISpm",8,133,140,182,315,"Isocortex"
39,"ACAd",64,166,102,195,315,"Isocortex"
48,"ACAv",64,166,102,201,315,"Isocortex"
972,"PL",47,168,80,207,315,"Isocortex"
44,"ILA",89,179,99,214,315,"Isocortex"
723,"ORBl",36,138,94,227,315,"Isocortex"
731,"ORBm",36,138,94,233,315,"Isocortex"
746,"ORBvl",36,138,94,240,315,"Isocortex"
104,"AId",33,152,102,247,315,"Isocortex"
111,"AIp",33,152,102,253,315,"Isocortex"
119,"AIv",33,152,102,259,315,"Isocortex"
894,"RSPagl",26,166,152,266,315,"Isocortex"
879,"RSPd",26,166,152,272,315,"Isocortex"
886,"RSPv",26,166,152,279,315,"Isocortex"
22,"PTLp",0,159,172,286,315,"Isocortex"
541,"TEa",21,176,179,293,315,"Isocortex"
922,"PERI",14,150,132,300,315,"Isocortex"
895,"ECT",13,159,145,306,315,"Isocortex"
507,"MOB",154,210,189,313,698,"OLF"
151,"AOB",157,240,210,319,698,"OLF"
159,"AON",84,191,148,323,698,"OLF"
589,"TT",98,208,159,331,698,"OLF"
814,"DP",164,218,164,343,698,"OLF"
961,"PIR",106,203,186,349,698,"OLF"
619,"NLOT",149,228,200,354,698,"OLF"
639,"COAa",97,231,183,360,698,"OLF"
647,"COAp",97,231,183,364,698,"OLF"
788,"PAA",89,218,171,377,698,"OLF"
566,"TR",168,236,211,382,698,"OLF"
382,"CA1",126,208,75,390,1089,"HPF"
423,"CA2",126,208,75,395,1089,"HPF"
463,"CA3",126,208,75,400,1089,"HPF"
726,"DG",126,208,75,406,1089,"HPF"
982,"FC",126,208,75,423,1089,"HPF"
19,"IG",126,208,75,424,1089,"HPF"
918,"ENTl",50,184,37,427,1089,"HPF"
926,"ENTm",50,184,37,440,1089,"HPF"
934,"ENTmv",50,184,37,450,1089,"HPF"
843,"PAR",114,213,105,456,1089,"HPF"
1037,"POST",72,200,60,460,1089,"HPF"
1084,"PRE",89,185,71,464,1089,"HPF"
509,"SUBd",79,194,68,469,1089,"HPF"
518,"SUBv",79,194,68,473,1089,"HPF"
583,"CLA",138,218,135,479,703,"CTXsp"
952,"EPd",160,238,157,481,703,"CTXsp"
966,"EPv",160,238,157,482,703,"CTXsp"
131,"LA",144,235,141,483,703,"CTXsp"
295,"BLA",157,231,156,484,703,"CTXsp"
319,"BMA",132,234,129,488,703,"CTXsp"
780,"PA",151,236,147,491,703,"CTXsp"
672,"CP",152,214,249,495,477,"STR"
56,"ACB",128,205,248,497,477,"STR"
998,"FS",128,205,248,498,477,"STR"
754,"OT",128,205,248,499,477,"STR"
250,"LSc",144,203,237,508,477,"STR"
258,"LSr",144,203,237,509,477,"STR"
266,"LSv",144,203,237,510,477,"STR"
310,"SF",144,203,237,511,477,"STR"
333,"SH",144,203,237,512,477,"STR"
23,"AAA",128,192,226,514,477,"STR"
292,"BA",128,192,226,515,477,"STR"
536,"CEA",128,192,226,516,477,"STR"
1105,"IA",128,192,226,520,477,"STR"
403,"MEA",128,192,226,521,477,"STR"
1022,"GPe",133,153,204,531,803,"PAL"
1031,"GPi",133,153,204,532,803,"PAL"
342,"SI",162,177,216,534,803,"PAL"
298,"MA",162,177,216,535,803,"PAL"
564,"MS",150,167,211,538,803,"PAL"
596,"NDB",150,167,211,539,803,"PAL"
581,"TRS",150,167,211,540,803,"PAL"
351,"BST",179,192,223,542,803,"PAL"
287,"BAC",179,192,223,559,803,"PAL"
629,"VAL",255,128,132,565,549,"TH"
685,"VM",255,128,132,566,549,"TH"
718,"VPL",255,128,132,568,549,"TH"
725,"VPLpc",255,128,132,569,549,"TH"
733,"VPM",255,128,132,570,549,"TH"
741,"VPMpc",255,128,132,571,549,"TH"
414,"SPFm",255,128,132,573,549,"TH"
422,"SPFp",255,128,132,574,549,"TH"
609,"SPA",255,128,132,575,549,"TH"
1044,"PP",255,128,132,576,549,"TH"
1072,"MGd",255,128,132,579,549,"TH"
1079,"MGv",255,128,132,580,549,"TH"
1088,"MGm",255,128,132,581,549,"TH"
170,"LGd",255,128,132,582,549,"TH"
218,"LP",255,144,159,585,549,"TH"
1020,"PO",255,144,159,586,549,"TH"
1029,"POL",255,144,159,587,549,"TH"
325,"SGN",255,144,159,588,549,"TH"
255,"AV",255,144,159,590,549,"TH"
1096,"AMd",255,144,159,592,549,"TH"
1104,"AMv",255,144,159,593,549,"TH"
64,"AD",255,144,159,594,549,"TH"
1120,"IAM",255,144,159,595,549,"TH"
1113,"IAD",255,144,159,596,549,"TH"
155,"LD",255,144,159,597,549,"TH"
59,"IMD",255,144,159,599,549,"TH"
362,"MD",255,144,159,600,549,"TH"
366,"SMT",255,144,159,604,549,"TH"
1077,"PR",255,144,159,605,549,"TH"
149,"PVT",255,144,159,607,549,"TH"
15,"PT",255,144,159,608,549,"TH"
181,"RE",255,144,159,609,549,"TH"
189,"RH",255,144,159,611,549,"TH"
599,"CM",255,144,159,612,549,"TH"
907,"PCN",255,144,159,613,549,"TH"
575,"CL",255,144,159,614,549,"TH"
930,"PF",255,144,159,615,549,"TH"
262,"RT",255,144,159,616,549,"TH"
27,"IGL",255,144,159,618,549,"TH"
178,"LGv",255,144,159,619,549,"TH"
321,"SubG",255,144,159,622,549,"TH"
483,"MH",255,144,159,624,549,"TH"
186,"LH",255,144,159,625,549,"TH"
390,"SO",255,93,80,629,1097,"HY"
332,"ASO",255,93,80,630,1097,"HY"
38,"PVH",255,93,80,632,1097,"HY"
30,"PVa",255,93,80,643,1097,"HY"
118,"PVi",255,93,80,644,1097,"HY"
223,"ARH",255,93,80,645,1097,"HY"
72,"ADP",255,85,71,647,1097,"HY"
263,"AVP",255,85,71,649,1097,"HY"
272,"AVPV",255,85,71,650,1097,"HY"
830,"DMH",255,85,71,651,1097,"HY"
452,"MEPO",255,85,71,655,1097,"HY"
523,"MPO",255,85,71,656,1097,"HY"
763,"OV",255,85,71,657,1097,"HY"
914,"PD",255,85,71,658,1097,"HY"
1109,"PS",255,85,71,659,1097,"HY"
126,"PVp",255,85,71,661,1097,"HY"
133,"PVpo",255,85,71,662,1097,"HY"
347,"SBPV",255,85,71,663,1097,"HY"
286,"SCH",255,85,71,664,1097,"HY"
338,"SFO",255,85,71,665,1097,"HY"
689,"VLPO",255,85,71,666,1097,"HY"
88,"AHN",255,76,62,668,1097,"HY"
210,"LM",255,76,62,674,1097,"HY"
491,"MM",255,76,62,675,1097,"HY"
525,"SUM",255,76,62,677,1097,"HY"
1126,"TMd",255,76,62,681,1097,"HY"
1,"TMv",255,76,62,682,1097,"HY"
515,"MPN",255,76,62,683,1097,"HY"
980,"PMd",255,76,62,687,1097,"HY"
1004,"PMv",255,76,62,688,1097,"HY"
63,"PVHd",255,76,62,689,1097,"HY"
693,"VMH",255,76,62,694,1097,"HY"
946,"PH",255,76,62,699,1097,"HY"
194,"LHA",242,72,59,701,1097,"HY"
226,"LPO",242,72,59,702,1097,"HY"
356,"PST",242,72,59,703,1097,"HY"
364,"PSTN",242,72,59,704,1097,"HY"
173,"RCH",242,72,59,705,1097,"HY"
470,"STN",242,72,59,706,1097,"HY"
614,"TU",242,72,59,707,1097,"HY"
797,"ZI",242,72,59,708,1097,"HY"
302,"SCs",255,122,255,714,313,"MB"
811,"ICc",255,122,255,719,313,"MB"
820,"ICd",255,122,255,720,313,"MB"
828,"ICe",255,122,255,721,313,"MB"
580,"NB",255,122,255,722,313,"MB"
271,"SAG",255,122,255,723,313,"MB"
874,"PBG",255,122,255,724,313,"MB"
460,"MEV",255,122,255,725,313,"MB"
381,"SNr",255,144,255,727,313,"MB"
