,AAA,ACAd,ACAv,ACB,AD,AHN,AId,AIp,AIv,AMB,AMd,AMv,AN,AOB,AON,APN,ARH,AUDd,AUDp,AUDv,AV,BLA,BMA,BST,CA1,CA2,CA3,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,CP,CS,CUL,CUN,DCO,DG,DMH,DN,DP,DR,ECT,ENTl,ENTm,EPd,EPv,FL,FN,FRP,FS,GPe,GPi,GRN,GU,IA,ICc,ICd,ICe,ILA,IMD,IO,IP,IPN,IRN,LA,LAV,LD,LGd,LGv,LH,LHA,LP,LPO,LRN,LSc,LSr,LSv,MA,MARN,MD,MDRNd,MDRNv,MEA,MEPO,MGd,MGm,MGv,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MV,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NTS,ORBl,ORBm,ORBvl,OT,PA,PAA,PAG,PAR,PARN,PB,PCG,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIR,PL,PMd,PO,POL,POST,PP,PPN,PRE,PRM,PRNc,PRNr,PRP,PSV,PT,PTLp,PVH,PVT,PVp,PVpo,PYR,RCH,RE,RH,RM,RN,RR,RSPagl,RSPd,RSPv,RT,SBPV,SCm,SCs,SF,SI,SIM,SMT,SNc,SNr,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSs,STN,SUBd,SUBv,SUM,SUT,SUV,TEa,TR,TRN,TRS,TT,TU,V,VAL,VCO,VII,VISC,VISal,VISam,VISl,VISp,VISpl,VISpm,VM,VMH,VPL,VPM,VPMpc,VTA,XII
AAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001708042,0,0,0,0,0,0,0,0,0,0,0.000124309,0,0,0,0,0.001041643,0.008791529,0,0,0,0,0,0.002466588,0,0,0,0,0,0.017298522,0,0,0,0,0,0,0,0,0,0,7.53816E-06,0,0,0,0,0,0.010093728,0,0.037215413,0.000184347,0,0,0,0,0,0,0.000244875,0.003785484,0,0.063840832,0.001138071,0,0,0,0,0,0.004440721,0,0.003579747,0,0,0.002532018,0,0.001756642,0.008595071,0.01019336,0,0,0,0,0,0,0,0,0.113944311,0,0,0,0,0,0,0,0.000928363,0,0,0,0,0,0,0,0,0.101417439,0,0,0.002428605,0,0,0,0,0,0,0,0,0,0,0,0.00033704,0.008204495,0,0.002974187,0,9.10074E-05,0,0.010240959,0.00123846,0,0.000643722,0,0,0,0,0,0,0,0.018978963,0,0.003814106,0,0.002213091,0.006429358,0,0,0,0.000699784,0,0.062132051,0,0,0,0,0,0.001075174,7.55045E-05,0,0.01088081,0.000324895,0.009555404,0,0,0,5.06064E-05,0,0,0,0,0,0,0,0.000381207,0,0,0,0.000292883,0,0,0,0.001511295,0,0,0.003888973,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52698E-05,0,0,0.012599283,0
ACAd,0.000425175,1.235866576,0.543980176,0.018271039,0,0,0.054939467,0.028762607,0.052522793,0,0.043446026,0.006596377,0.001177666,0.008385039,0.013398859,0,0,0.005020873,0.000253761,0.001199388,0.00281145,0.000299393,0,0,0,0,0,0,0.000302461,0,0.127139706,0,0,9.89478E-05,0,0.048223744,0.047989569,0.00035885,0.000424209,0.000210145,0.001100997,0.002281348,2.52698E-07,0.006506689,0,0.027993921,0.061552144,0.001777869,0.011081728,0,0.000242621,0,0,0,0,0,0,0,0,9.63481E-05,0.000297235,0.000652704,0.105256466,0,0,0,0.000811756,0,0.001293422,0,0.002842009,0,0.000167806,0.001409321,0.002453226,0.000956339,0.000197366,0,0,0.016839258,0,0.000146564,0,0,0.000309792,0,0.000305039,0,2.95159E-06,0,0.000181574,0,0,0,0,0.465841041,0,0,0,0,0.000931886,0,0.005150852,0.026094887,0,0.000203168,9.33755E-05,0,0.000112928,0,0.095394967,0.064755149,0.151881003,0.003081222,0,3.96024E-05,0.127840625,0.000991767,0,0,0.015062725,0.034521558,0,0.0026004,0,0,0,0.009229918,0.02124255,0.18170917,0,0,0,0.004652282,0.00010744,0,0.003635225,0,0,0,0.001487166,0.000116246,0,0.063277787,0,0,0,0,0,0,0.098621706,0.017718144,0.002574874,0,0,0.015060596,0.130400877,0.268990571,0.000731643,0,0,0,0.000166224,0,0,0.007168385,0,0,0.000433487,0,0.002363798,0,0,0,0.004318595,0,0,0.008007469,0,0,0.014542907,0,0,0,0.000831206,0,0,0,0,0.009653682,0,0.009647319,0.000488355,0.013416545,0.000187222,0,0,0.000292299,0,0.009247395,0.020036165,0.034983472,0.002202197,0.02923845,0.00087879,0.001635195,0,0,0,0,0,0.017643567,0
ACAv,0,0,0.645738733,0,0.001391613,0,0,0,0,0,0,0,0,0,0,0.000188327,0,0,0,0,0,0,0,0,0,0,0,0,6.83706E-05,0.002108682,0,0.000449465,0.002433427,0,0,0.805090248,0.043328961,0,0,0,0,0,0,0,0.007086101,0,0,0,0,0,0,0,0,0,0,0,0,0.008354019,0,0,0,0,0.018220708,0.002211082,4.13791E-05,0,0.002197733,0,0,0,0.00167077,0,0,0.000178326,0.015591721,9.34578E-06,0,0,0,0,0,0,0,0.001008417,0,0,0,0,0,0,0,0,0.004307345,0.002512003,0,0,0,0,0.00358457,0.008683099,0,0.001439986,0,0.011541442,0.000152168,0,0,0,0.002919877,0,0,0,0,0,0,0,0.085129872,0,0,0,0.047835133,0,0.00198509,0,0.006998411,0,0,0.066944292,0,0.03915236,0.002838013,0,3.60718E-05,0,0,0.0028647,0,0.000368547,0.012371589,0.055266042,0,0,0.000230169,0,0,8.92167E-05,0,0,0,0,0,0.001574251,0,0,0.002283752,0.002680569,0,0,0.001464351,0,0.040377554,0.004701578,0,0,0.000386948,0,0.000838861,0.000699224,0,0.00533398,0.003520891,8.00696E-06,0,0,0,0,0,0,0,0.000761917,0,0,0.00408456,0,0,0,0.014011487,0,0,0,0,0.007612979,0,0,0,0,0,0,0,0.002601616,0,0,0,0,0,0,0.013407214,0,0,0,0,0.000160247,0
ACB,0,0,0,0.003086047,0,0,0.000406839,0.000639729,0.001575232,0,0,0,0.001339213,0.002290955,0.072179032,0,0.002330961,0.000292434,0.000123412,0,0,0,0,0.000623385,0,0,0,0,0.000976034,0,0,0.000849408,0,0,0,0,0,0.000764588,0.000163895,0.000221137,0,0,8.58326E-08,0,0.00059404,0,0,0,0.005887764,0.000754106,0.000624234,3.78442E-06,0,0.00010396,0,9.81517E-06,0,0.00013519,0,1.17947E-06,0.00030402,0.000994804,0,0,0.000769265,9.34709E-07,0,0,0.000161181,6.87731E-06,0,0,0,0,0,0,0,0.000100519,0,0,0.002228041,0,0,0.000654054,0,0,0,0,0,0,0,0,0,0.064716407,0,0,0,0,0,0,0,4.49034E-05,0,0,0.000104024,0,0.000109907,0,0,1.63322E-05,0,0.001514087,2.0163E-05,0,0,0.0014715,0,0,0,0,0,0,0,0.002600343,0,0,0,0,0.02596831,0,0,0,0,0,0,0,0,0.000340899,0,0,1.42258E-05,0,0,0,0,0.000699139,0.001047737,0.000680262,0,0,0.002589539,0.000448373,0,0,0,0,0,0,0,0,0,0.000975652,0,0,0.000239632,0,0,0.000550211,0,0,0,0,0.00018899,1.70701E-05,0,0,0.000696205,0,0,0.000112695,0,0,0.001555504,0,0,0,0,0,0,4.34706E-05,0,0,0,0.002249598,0,0,0.00010911,0.000363213,0,0.000278225,0,0,9.58204E-06,0,0,4.8815E-05,0,0,2.65372E-05,0,0,0.001795182,0
AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001395316,0,0,0,0,0,0,0,0,0,0,0.000690941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133009,0.000218183,0,0,0,0,0,0,0,0,0,0,0.003833931,0,0.000801951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000258513,0,0,0,0.000702754,0,0,0,0.000362534,0,0,0,0,0,0,0.485629468,0,0,0,0,0,0,0,0,0,0.00078711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHN,0,0,0,0,0,0,0,0,0,3.03125E-05,0,0.001415117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001229083,0,0,0,0,0.007900456,0,0,0,0,0.003703954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003047455,0,0,0,0,0,0,0.003737628,0.002463033,0,0.012634427,0,0,0.014056952,0,0,0,0.006910661,0,0,0,0.020800045,0,0,0,0.002398854,0.000976975,0,0,0,0.001794138,0.008617137,0,0,0.026460273,0.000464297,0.040080629,0.000129268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14691E-05,0,0,0,0,0,0.000269826,0,0,0.036443736,0,0,0.013587992,0,0,0,0,0,0,0,0,0.001351309,0,9.45646E-07,0.010566192,0,0.006907525,0.019490776,0.005616989,0,0,0,0.048203875,0,0,0,0,0,0,0,0,0.000985156,0,0,0.003724222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008887599,0,0,0,0,0.00061169,0.002828837,0,0.017147471,5.13333E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AId,0,0.023023335,0,0.166888128,0,0,0.946155474,0.081325313,0.127555779,0,0,0,0.000145472,0.015961575,0,0,0,0,0,0,0,0.040021823,0.000736866,0,0,0,0,0.026408392,0,0,0.128302233,0.0008319,0,0,0,1.771004351,0,0,0,0,0,0,0,0,0.009479923,0.008942621,0,0,0,0.002491828,7.18221E-05,0,0.118652609,0.015179245,0.084444826,0,0,0.218138631,0.002053353,0,0.000115695,0,0.021663836,0.034045309,0.001011509,0,0,0,0.00144531,0,0,6.03224E-06,0,0.001209208,0,0,0,0,0.00766048,0.020939278,0,0,0,0,0,0,0,0,0,0.000280987,0,0,0,0,0.416081718,0.218006034,0,0,0,0,0,0,0,0,0,0,0,7.25727E-05,0.001870062,0,0.000463839,0.057212176,0.056705428,0.004560267,0,0,0,0,0,0.003257772,0,0.009386009,0.008250267,0,0,0,0,0,0,0.097798615,0,0,0.000920851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75311E-05,0.008734526,1.21417E-05,0,0.000334947,0.000953796,0,0.017737101,0.0026038,0.003799123,0,0,0,0,0,0,0.027671991,0,0,0,0.017643505,0.000241217,0.000139847,0,0,0,0,0,0,0,7.04459E-06,0,0,0,0,0,0,0.066155633,0,0,0,0,0,0,0,0,0,0,0.003607873,0,0
AIp,0.001189291,0.003205254,0,0.177784612,0,0,0.167489945,0.028266977,0.014610905,0.000571187,0,0,0,0,0,0,0,0,0,0.01291718,0,0.071266807,0.003947022,0.069317651,0,0,0,0.192039972,0,0.000278776,0.002504076,0.000808851,0.037933455,0,0.001441749,0,0.000974842,0,8.12161E-05,0,0,0.005625504,0,0,0.003477287,0,0.064461695,0,0.034289016,0.01596659,0,0,0.007391778,0.051082797,0.133738643,0,0,0.074103626,0.009469958,0,0,0,0,0.043833195,0,0,0,0.020574202,0.008352512,0.000345757,0,0,0,0.000775992,0.018975703,0,0,0.002669252,0,0,0,0,0,0.039040839,0.0126285,0.010013917,0.0018051,0,0,0.000775,0,0,0,0,0,0,0,0,0,0.009915623,0,0.003938538,0,0.00033463,0.000204111,0,0,5.51098E-06,0,0.03823918,0,0,0,0,0,0,0.079312929,0,0,0.004443345,0.002762265,0.02851683,0.021209086,0,0,0,0,0.010937107,0.030741591,0.001661203,0.000112865,0.001611328,0.001003199,0,0,0.001139694,8.83375E-05,0,0,0,0.000347539,0,0.001819953,0,0.000813883,0.022151736,0,0,0,0.000901792,0.034374775,0.018941623,0,0.001214366,0.001975137,0,0,0,0,0,0,0,0,0.037910779,0.000168153,0.00808082,0.001658496,0.00129002,0,0.024615522,0.009532131,0.007531384,0.000522663,0.000794208,0,0,0,0,0,0,0,0,0,0.001589895,0,0,0.001663074,0,0,0,0.033668028,0,0,0,0.00090365,0,0,0,0,0,0,0,0,0,0,0,0.024177466,0.000103808,0.000111085,0,0.02841737,0.008580341,0.002083566
AIv,0.002856085,0.190166328,0.0206077,0.268633954,0,0,0.124444915,0,0.376863303,0,0,0,0,0.035414162,0.010639666,0,0.000341043,0,0.004228261,0.041193806,0,0,0,0.022617687,0,0,0,0,0.000216172,0,0,0,0,0.000249619,0,0,0,0.003159652,0.002044069,0.000169596,0.007815313,0,0,0.009673111,0,0.051454797,0.026464905,0.00098317,0.019169274,0,0,5.81245E-06,0.167533241,0,0,0,0,0,0,0.000147213,0.000265834,1.04636E-05,0.139543281,0,0,0,0.002897597,0,0.004240733,0,0,0.000322562,3.62442E-06,0.008552777,0.00514098,2.85353E-05,0.001151373,0,0,0.002953634,0,0.000428979,0,0,0,0,0.000662637,0,3.24613E-05,0,0.00023793,6.64878E-05,6.5104E-05,0,0,0.556684466,0,0,0.000137767,0,0.004727501,0,0.012719524,0.005953749,0.000755679,0.001578358,0.000432812,0,0,0,0.771431999,0.266316908,0.564055864,0.062870119,4.90304E-05,0.00113422,0.248920469,0.00095372,0,0,0.02817478,0,0,0.000463244,0,0,0,0.024276434,0.197971884,0.273291799,0.000405308,0,0,0.000718309,0,0,0.001925067,0,0,0,0,0,0.000452392,0,0,0.053890465,8.18724E-05,0.000274039,0,0,0.087839678,0,0,0,0,0.000201986,0,0,0,4.77999E-05,0,0.007609821,0,0.041585527,0,0,0,0,0,0.030303473,0.004790462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000659525,0.003861785,0,0,0.093202054,0,0,0.000102811,0.008446746,0.001871114,0,0,0.000360886,0,0,0,0,0,0,0,0.000400567,0,0,0,0,0,0,0
AMB,0,0,0,0,0,0.001017397,0,0,0,0.389299655,0,0.000229246,0,0,0.001869657,0,0.000926678,0,0.001998895,0,0,0,0,0.019908168,0,0,0,0.003986477,0,0,0.000284495,0.000958738,0.007246235,0,0,0.003050678,0.006032405,0,0,0,0,0.007530868,0,0,0,0,0,0,0,0,0.010569823,0,0,0.000540772,0.000899436,0.002871822,1.170273174,0,0,0,0,0,0,0.016411304,0.262476587,0,0,1.255379848,0,0.032839977,0,0,0,0,0.096181484,0,0.0471934,0.311159068,0.000167176,0.013080079,0.001317509,0.00319098,0.337793675,0,0,0.526013078,0,0.009622863,0,0,0,0,0,0,0,0,0.002699499,0.041575675,0,0,0,0.16715698,0.016551634,0,0,0.001180631,0.008859431,0,0,0.140339821,0,0,0.000356344,0,0,0,0,0,0,0.195067785,0,0,0,0,0.018600114,0,0.894621352,0,0,0,0.000541284,0,0,0,0.002299053,0,0,0,0,0,0,0.067100851,0,0,0.012075289,0,0,0.004844971,0,0.01364373,0.007639515,0.004570422,0,0,0,0,0,0,0,0.005683086,0,0,0,0.034235573,0,0,0,0,0,0.01016698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008565107,0,0,0.000294079,0,0,0,0,0.059729522,0,0,0.022096765,0,0,0,0.374580011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
